sample_id,real_case_id,correspondence_csv_exists,num_rows,num_positive,num_negative,positive_rate,label_threshold_m,max_corr_distance_m,label_mismatch_count,label_mismatch_rate,candidate_above_max_corr_count,candidate_above_max_corr_rate,label_distance_min,label_distance_median,label_distance_mean,label_distance_p90,label_distance_max,distance_T0_min,distance_T0_median,distance_T0_mean,distance_T0_p90,distance_T0_max,point_to_plane_residual_min,point_to_plane_residual_median,point_to_plane_residual_mean,point_to_plane_residual_p90,point_to_plane_residual_max,normal_dot_abs_min,normal_dot_abs_median,normal_dot_abs_mean,normal_dot_abs_p90,normal_dot_abs_max,fpfh_distance_min,fpfh_distance_median,fpfh_distance_mean,fpfh_distance_p90,fpfh_distance_max,log_normalized_density_ratio_min,log_normalized_density_ratio_median,log_normalized_density_ratio_mean,log_normalized_density_ratio_p90,log_normalized_density_ratio_max,is_mutual_nn_min,is_mutual_nn_median,is_mutual_nn_mean,is_mutual_nn_p90,is_mutual_nn_max,distance_T0_positive_mean,distance_T0_negative_mean,distance_T0_positive_minus_negative_mean,point_to_plane_residual_positive_mean,point_to_plane_residual_negative_mean,point_to_plane_residual_positive_minus_negative_mean,normal_dot_abs_positive_mean,normal_dot_abs_negative_mean,normal_dot_abs_positive_minus_negative_mean,fpfh_distance_positive_mean,fpfh_distance_negative_mean,fpfh_distance_positive_minus_negative_mean,log_normalized_density_ratio_positive_mean,log_normalized_density_ratio_negative_mean,log_normalized_density_ratio_positive_minus_negative_mean,is_mutual_nn_positive_mean,is_mutual_nn_negative_mean,is_mutual_nn_positive_minus_negative_mean
real_20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005_hard,20260626_162437_pallet_rack_cluster022_ransac_icp_voxel005,True,1292,94,1198,0.07275541795665634,0.1,0.6,0,0.0,0,0.0,0.013460885878227,0.32316295066705136,0.30210041521360076,0.4640219742217014,0.6178546113066818,0.0061501029938003,0.22240233851287367,0.25734577260850333,0.5206645745173656,0.599967307074099,0.0002687985335306,0.1408616397998798,0.18553983991756282,0.4211181499530993,0.5819493184458309,0.0046237424065628,0.621558323048166,0.5760759208839544,0.9165923312694316,0.999112933923876,43.50493855947612,98.76945385180885,113.4875637872628,182.87975385675003,274.5174160193939,-1.1847565243513971,0.3276867284954693,0.4152557524331899,1.292766247557223,1.868127656361635,0.0,0.0,0.06656346749226007,0.0,1.0,0.4539716721666851,0.24191769701712681,0.2120539751495583,0.2979278687771039,0.1767214136130579,0.12120645516404602,0.4823268635913604,0.5834318569319542,-0.10110499334059381,110.52445870201319,113.72006118126401,-3.195602479250823,0.7595120760375337,0.38824398747592076,0.3712680885616129,0.0,0.07178631051752922,-0.07178631051752922
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_easy,20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,True,1055,291,764,0.27582938388625594,0.1,0.4,0,0.0,0,0.0,0.0075355015806724,0.1602209283622131,0.18963641773073536,0.3529023630785523,0.4422534806402547,0.0101544721149295,0.190324188408357,0.1977706195107505,0.3643659512737635,0.3998235603710897,0.000112806333913,0.0835366202727426,0.11897978707866294,0.28643114724029806,0.3901970344107462,0.0005575309913656,0.3871890733293258,0.42894940787016655,0.9377939542511358,0.9995739022860184,56.18560136869487,124.5013971727136,130.7474314685617,182.40775844758352,276.95973870110504,-0.9504809764192488,0.3313567128780645,0.3235024873845339,0.96280951114712,2.736209855918381,0.0,0.0,0.04454976303317536,0.0,1.0,0.06782898595373073,0.24726409511951067,-0.17943510916577993,0.04042179839041663,0.14890174350311275,-0.10847994511269612,0.4940493872591068,0.40415347331233725,0.08989591394676955,128.6475226208802,131.54726585949794,-2.899743238617731,0.13333586478910686,0.39593506222127395,-0.2625991974321671,0.14432989690721648,0.006544502617801047,0.13778539428941544
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_medium,20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,True,1302,242,1060,0.1858678955453149,0.1,0.5,0,0.0,0,0.0,0.0075355015806724,0.2170268197592331,0.24348900073401658,0.4443300054670151,0.5876550101472022,0.0059325562904814,0.20705974300492497,0.22182743824665366,0.42542176680260607,0.497055710692617,0.0002048688342934,0.0816535489675099,0.11261268621275111,0.2512668506299684,0.442715567808815,0.000418618685828,0.3694771087179469,0.42232655854379264,0.9374276112305615,0.99936192740782,56.19313654022846,127.820231891191,132.7142318765351,183.2823889631163,269.59445500360835,-1.3099195784165776,0.4519845782891811,0.522673522671413,1.2181560308690131,2.754558980445174,0.0,0.0,0.03917050691244239,0.0,1.0,0.07529990230694429,0.25527995116873825,-0.17998004886179397,0.048460692351511125,0.12725870745277007,-0.07879801510125894,0.5544284195430479,0.3921674544288683,0.1622609651141796,130.9591813142527,133.11491323132032,-2.1557319170676124,0.17345909627456638,0.6023998351129571,-0.4289407388383908,0.13636363636363635,0.016981132075471698,0.11938250428816466
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_hard,20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005,True,848,60,788,0.07075471698113207,0.1,0.6,0,0.0,0,0.0,0.0303406813754956,0.3246026253336983,0.32615352305957535,0.5386816304360486,0.7085111617577325,0.1079790630863501,0.43159700136166534,0.41222579355640643,0.563740788314683,0.5994296251453362,0.0015607084492189,0.29191272323456996,0.30060915499049434,0.4953002358313391,0.591679040144163,0.0003233834720247,0.440796407199051,0.42464991734153584,0.7210782088472385,0.9584821302990018,57.47193885386066,133.41418732119507,143.20776541498972,206.25275282729265,273.3453533092288,-0.817443517560835,0.35667453893920276,0.7431029199014844,2.5314156200398914,3.1039343967276167,0.0,0.0,0.01061320754716981,0.0,1.0,0.510894128345977,0.4047129761866422,0.10618115215933482,0.41845826865664026,0.29163587222403653,0.12682239643260373,0.4502517612383002,0.42270053836462484,0.02755122287367534,115.30135028234402,145.33261935909982,-30.031269076755805,0.5052684869604531,0.7612121406837964,-0.25594365372334327,0.0,0.011421319796954314,-0.011421319796954314
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_easy,20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,True,816,168,648,0.20588235294117646,0.1,0.4,0,0.0,0,0.0,0.0142585679749295,0.14967001253612505,0.15262279010991983,0.23466091872020806,0.522428502065096,0.0106494322013066,0.14809806277400345,0.16707928604237318,0.30234443393112365,0.3952117898193934,0.0007996433717988,0.0758467178515915,0.09154252768159964,0.19994048910649526,0.3149232916017642,0.0001520602694016,0.7890479977285794,0.6754683142094304,0.9774908916639927,0.9997339229182856,53.256863637522166,115.48909143114543,116.08449780386829,139.10095417875127,234.536581796096,-1.234743133448844,0.3364718080503355,0.36868753342758087,1.131400079237068,2.054118502944019,0.0,0.0,0.06495098039215687,0.0,1.0,0.13609452490127621,0.175112372264139,-0.03901784736286279,0.09408591008538932,0.09088313224358008,0.0032027778418092373,0.7874149401138923,0.6464451149008662,0.14096982521302615,116.64552323693901,115.93904676566478,0.7064764712742289,0.4417352687861558,0.34974923166795024,0.09198603711820558,0.05357142857142857,0.06790123456790123,-0.014329805996472662
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_medium,20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,True,881,303,578,0.3439273552780931,0.1,0.5,0,0.0,0,0.0,0.0109367963447264,0.1237540844908777,0.1478134199839435,0.2743498474544094,0.522428502065096,0.0077274795710348,0.1085645122080653,0.13901728417852044,0.2811906871166276,0.4951372483074233,3.433620072386574e-05,0.0477596561349196,0.07279196134578034,0.1825950838063419,0.384765912976854,0.003584165565778,0.7468288602995045,0.6664648549495047,0.980139859953397,0.999714169637868,59.95476877133613,114.58703379497253,116.9733903418081,140.2735859239202,243.71670204929268,-1.2039693043373108,0.3204715296837945,0.28986619600605057,0.788456269456766,2.054118502944019,0.0,0.0,0.09648127128263337,0.0,1.0,0.07223006439375702,0.17402857759510063,-0.1017985132013436,0.04105335194208432,0.08943002129270058,-0.04837666935061626,0.7471136964850816,0.624187002033796,0.12292669445128568,117.00402968683332,116.95732853983122,0.04670114700209638,0.2764838180041891,0.29688152565062503,-0.020397707646435947,0.18811881188118812,0.04844290657439446,0.13967590530679366
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_hard,20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005,True,873,77,796,0.0882016036655212,0.1,0.6,0,0.0,0,0.0,0.0142585679749295,0.193719708287046,0.19849881410323333,0.29024185840514233,0.522428502065096,0.0044241261804957,0.1913046384092077,0.2193747749966766,0.42399925184120996,0.5976020037701466,0.0001927179273036,0.0881917160220406,0.11396984304866493,0.27458173958825804,0.5079977252040692,0.0026213535443368,0.7354536841927716,0.6510028432705462,0.9746137970764412,0.9998892245886316,77.21417524569394,114.82381186835106,116.20186700056911,138.87957231089175,244.29241912326023,-1.2039693043373108,0.4187099243322773,0.410333488641406,0.9555102142599096,2.054118502944019,0.0,0.0,0.06071019473081329,0.0,1.0,0.21490528642507367,0.21980712502181907,-0.004901838596745395,0.11136088371756238,0.11422221725531682,-0.0028613335377544458,0.8059509305144632,0.6360141463889111,0.16993678412555213,118.0212350336392,116.0258728566666,1.9953621769726055,0.5003677441607356,0.4016241448286065,0.09874359933212912,0.012987012987012988,0.06532663316582915,-0.05233962017881616
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_easy,20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005,True,882,645,237,0.7312925170068028,0.1,0.4,0,0.0,0,0.0,0.0104897369432678,0.06878919323337129,0.08628773388051195,0.1742785062026743,0.2846526617733728,0.0012351216164826,0.04493237420923185,0.0676907082493508,0.16314334593055305,0.2682348100360378,1.700416769576628e-05,0.01981865930589065,0.034324306540989,0.09286637180637015,0.2293717765301526,0.0002837653671129,0.866658304818176,0.7002975468470891,0.9938960645505613,0.9999202124512584,41.16257414390332,111.74986393052535,114.72431512703301,161.24872306003752,248.1751034066012,-1.2237719022217697,0.237532058952868,0.3301212766418484,1.1758000067278098,2.762094001631102,0.0,0.0,0.30952380952380953,1.0,1.0,0.03964789013672592,0.1440097702014312,-0.10436188006470526,0.019600468816220677,0.07439551047548507,-0.05479504165926439,0.792299520859619,0.44991242769906464,0.3423870931605543,108.33803336416827,132.10470220318385,-23.76666883901558,0.17147742630576407,0.7618735275565083,-0.5903961012507442,0.4186046511627907,0.012658227848101266,0.40594642331468944
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_medium,20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005,True,882,162,720,0.1836734693877551,0.1,0.5,0,0.0,0,0.0,0.0131594556096372,0.15254829064472,0.1486174973123982,0.21161878512642723,0.2823930441938993,0.0107258078055152,0.1055357760050994,0.14503193019811378,0.31171982080413585,0.4163985351112356,9.170421833429657e-05,0.0602940986276424,0.07843967102987216,0.17153787569902473,0.3551856024149883,0.0012018839791541,0.7177905671219356,0.621940000769895,0.9882299448830932,0.9998431769857452,41.539619213913625,119.15464250507998,123.85008385987902,166.51968377356542,248.1751034066012,-1.6486545871378808,0.4054645525533805,0.5070947927757895,1.367258016023436,2.590244040756564,0.0,0.0,0.12698412698412698,1.0,1.0,0.17435494472666357,0.1384342519291901,0.03592069279747348,0.08524712305622506,0.07690799432394275,0.008339128732282305,0.7705283241132012,0.588507628017651,0.18202069609555016,131.49751649510137,122.129411516954,9.368104978147372,0.5317920133354506,0.5015379181498657,0.03025409518558486,0.024691358024691357,0.15,-0.12530864197530864
real_20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005_hard,20260703_135230_rm00_0260_02_cluster029_full_ransac_icp_voxel005,True,882,259,623,0.29365079365079366,0.1,0.6,0,0.0,0,0.0,0.0120891534961323,0.1273211456315666,0.1252124578936949,0.18731255740724267,0.2823930441938993,0.0071240823250236,0.09198723457625765,0.12116283450478703,0.27093860615731746,0.3556800854373176,4.0186290266318574e-05,0.0395408969557355,0.06254693102197949,0.14261975289783457,0.3257344390577349,0.0003107699830514,0.6925975666186057,0.622501716763553,0.9895179180828291,0.9999441170096892,44.54747057069893,116.65013240150125,120.93600534690191,164.66856455296957,254.9394673760877,-1.4350807157773044,0.3772936582256996,0.47643297639676413,1.337501563027825,2.8621773098123717,0.0,0.0,0.19501133786848074,1.0,1.0,0.12310719585602976,0.12035450450483218,0.0027526913511975865,0.0646783042362467,0.061660854517171765,0.00301744971907493,0.7233196012692863,0.5805886636544281,0.14273093761485822,123.43224927730654,119.89824101628426,3.5340082610222794,0.34924479449793266,0.5293089621299862,-0.18006416763205357,0.10424710424710425,0.23274478330658105,-0.1284976790594768
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_easy,20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005,True,882,598,284,0.6780045351473923,0.1,0.4,0,0.0,0,0.0,0.0120721755470454,0.08205317773337564,0.09337029006596817,0.16842362943608113,0.2682750523927067,0.006200432431722,0.0549717593983814,0.06453408697637188,0.11709017181449487,0.2332537070749445,6.281561490768198e-05,0.0263283425129414,0.0355692034661534,0.07740818671143336,0.198096221295045,0.0004623135656212,0.8427468916579539,0.6888913758186839,0.9902468373454173,0.9999160240121427,41.16257414390332,111.25729769602442,113.60622178623503,158.7620493879149,240.91840640413756,-1.16314737231696,0.3285035808616797,0.33379288784516,1.0901963656759364,2.762094001631102,0.0,0.0,0.2585034013605442,1.0,1.0,0.050068236134796,0.09499387149490136,-0.04492563536010536,0.029634172076098364,0.04806620618183267,-0.018432034105734303,0.7733099027905757,0.5111368718426584,0.2621730309479172,108.34513739787135,124.68413891384587,-16.339001515974516,0.1870452537114724,0.64278966676046,-0.4557444130489876,0.3528428093645485,0.05985915492957746,0.29298365443497104
