model,feature_set,test_shape,best_epoch,best_val_loss,test_rows,test_positive_rate,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,num_predicted_reliable,acceptance_rate
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.3,0.5265566495631674,0.39098169926419724,0.9176383763837639,0.5483330393367437,0.728174745524545,5174,9684,558,6217,15901,0.7350344381269357
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.4,0.5952017750658716,0.42611094542201017,0.8435424354243543,0.5662059741417744,0.728174745524545,7161,7697,1060,5715,13412,0.6199787361900799
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.5,0.6492395876669902,0.46084192274347363,0.7061254612546125,0.5577057589181628,0.728174745524545,9261,5597,1991,4784,10381,0.4798687190865807
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.6,0.6939860398465307,0.5124658195271031,0.4702583025830258,0.49045566502463056,0.728174745524545,11827,3031,3589,3186,6217,0.28738501363657376
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.7,0.7127536633846439,0.604547148714126,0.23940959409594095,0.3429900613237471,0.728174745524545,13797,1061,5153,1622,2683,0.12402348264225951
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.8,0.7028613692044562,0.7740916271721959,0.07232472324723248,0.13228941684665227,0.728174745524545,14715,143,6285,490,633,0.029260851476910276
MLP_weighted_reduced,reduced,boxes_cylinder,47,0.7516022251178224,21633,0.31317893958304444,0.9,0.6868210604169556,0.0,0.0,0.0,0.728174745524545,14858,0,6775,0,0,0.0
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.3,0.5709119569752886,0.45580918934738074,0.7742015658009196,0.5737969145751785,0.678004668144831,6084,7438,1817,6230,13668,0.6336872363113728
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.4,0.6227919699568826,0.4958391771856007,0.6590033552876848,0.5658947817735567,0.678004668144831,8130,5392,2744,5303,10695,0.4958505262181835
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.5,0.6541796096249246,0.5358799121308274,0.5456691934882565,0.5407302506003325,0.678004668144831,9719,3803,3656,4391,8194,0.3798970745050767
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.6,0.6655848671704762,0.5769088897085947,0.38871629178575867,0.46447397728116413,0.678004668144831,11228,2294,4919,3128,5422,0.2513792943576429
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.7,0.6622003801752515,0.6308909528723771,0.2279110227413943,0.3348548475442761,0.678004668144831,12449,1073,6213,1834,2907,0.13477676294682184
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.8,0.640317121795169,0.7453310696095077,0.05455449235740027,0.10166743862899491,0.678004668144831,13372,150,7608,439,589,0.027307710139552136
MLP_weighted_reduced,reduced,wall_column,17,0.6988736118970192,21569,0.37308173767907643,0.9,0.6269182623209235,0.0,0.0,0.0,0.678004668144831,13522,0,8047,0,0,0.0
